Территория,2005-2010,2011-2015
Республика Казахстан,147330.6,82424.4
Акмолинская,31763.3,34060.1
Актюбинская,40223.0,21719.1
Алматинская,20114.7,8965.9
Атырауская,Нет данных,Нет данных
Западно-Казахстанская,Нет данных,Нет данных
Жамбылская,5116.1,2064.7
Карагандинская,10042.9,Нет данных
Костанайская,8277.2,5222.9
Кызылординская,Нет данных,Нет данных
Мангистауская,Нет данных,Нет данных
Южно-Казахстанская,9094.2,4789.7
Павлодарская,3940.1,248.6
Северо-Казахстанская,7061.5,4166.4
Восточно-Казахстанская,10256.6,1187.0
г.Астана,1441.0,Нет данных
г.Алматы,Нет данных,Нет данных
